"
 Sapatos",,0/20 concluído  
,,
✓,tamanho,marca
FALSE,T:38-43   P:279.90,CALVEST SEM CARDAÇO
FALSE,T:38-43   P:279.90,CALVEST COM CARDAÇO PRETO
FALSE,T:38-43   P:279.90,CALVEST COM CARDAÇO MARROM
FALSE,T:38-43   P:129.90,VELLUTI CAFE
FALSE,T:38-43   P:129.90,VELLUTI WHITE
FALSE,T:38-43   P:129.90,VELLUTI PRETO 
FALSE,T:38-43   P:129.90,VELLUTI MARINHO
FALSE,T:39 E 40    P:129.90,PEDSHORS CREME/GELO
FALSE,T:40    P:165.90,PEDSHORS  PRTEO/TABACO
FALSE,T:39-43   P:129.90,PEDSHORS MARINHO/PRETO
FALSE,"T:37,40,41   P:161.90",PEDSHORS  CAFE/TABACO
FALSE,T:39-43    P:149.90,SOUND BRANCO
FALSE,T:37-43  P:149.90,SOUND CAFE/AMBAR
FALSE,T:37-43  P:149.90,SOUND  MARROM/AMBAR
FALSE,T:38-43   P:174.90,SOUND  BRANCO/CARAMELO
FALSE,T:39-43    P:239.90,OLYPIKUS OLTRA/PRETO
FALSE,"T:37-43  P:199.90",OLYPIKUS INDEX3/PRETO
FALSE,T:38-43   P:199.90,OLYPIKUS MARTE PRETO/AZUL
FALSE,"T:39-43  P:269.90",OLYPIKUS MARINHO/PETROLEO
FALSE,"T:37-43   P:209.90",OLYPIKUS  GRAFITE/VERMELHO
